"","route_name","direction","stop_id","stop_name","stop_lat","stop_lon","zone_id","municipality"
"1","Orange","from_stop_id","70009","Roxbury Crossing",42.33064,-71.09604,"RapidTransit","Boston"
"2","Orange","to_stop_id","70027","North Station",42.365577,-71.06129,"RapidTransit","Boston"
"3","Orange","from_stop_id","70020","Downtown Crossing",42.355518,-71.060225,"RapidTransit","Boston"
"4","Orange","to_stop_id","70001","Forest Hills",42.300523,-71.113686,"RapidTransit","Boston"
"5","Orange","from_stop_id","70017","Tufts Medical Center",42.349662,-71.063917,"RapidTransit","Boston"
"6","Orange","to_stop_id","70019","Chinatown",42.352547,-71.062752,"RapidTransit","Boston"
"7","Blue","from_stop_id","70050","Wood Island",42.379671,-71.022783,"RapidTransit","Boston"
"8","Blue","to_stop_id","70060","Wonderland",42.413361,-70.991685,"RapidTransit","Revere"
"9","Blue","from_stop_id","70047","Airport",42.374262,-71.030395,"RapidTransit","Boston"
"10","Blue","to_stop_id","70041","State",42.358978,-71.057598,"RapidTransit","Boston"
"11","Blue","from_stop_id","70053","Suffolk Downs",42.390422,-70.997323,"RapidTransit","Boston"
"12","Blue","to_stop_id","70043","Aquarium",42.359784,-71.051652,"RapidTransit","Boston"
"13","Red","from_stop_id","70082","Broadway",42.342622,-71.056967,"RapidTransit","Boston"
"14","Red","to_stop_id","70080","South Station",42.352271,-71.055242,"RapidTransit","Boston"
"15","Red","from_stop_id","70073","Charles/MGH",42.361187,-71.071505,"RapidTransit","Boston"
"16","Red","to_stop_id","70095","JFK/UMass",42.320418,-71.052287,"RapidTransit","Boston"
"17","Red","from_stop_id","70094","Ashmont",42.28453,-71.063725,"RapidTransit","Boston"
"18","Red","to_stop_id","70068","Harvard",42.373362,-71.118956,"RapidTransit","Cambridge"
"19","Green-B","from_stop_id","70112","Chestnut Hill Avenue",42.33873,-71.152526,"RapidTransit","Boston"
"20","Green-B","to_stop_id","70124","Warren Street",42.348285,-71.140436,"RapidTransit","Boston"
"21","Green-B","from_stop_id","70114","Chiswick Road",42.340808,-71.150633,"RapidTransit","Boston"
"22","Green-B","to_stop_id","70154","Copley",42.349871,-71.078049,"RapidTransit","Boston"
"23","Green-B","from_stop_id","70146","Boston University East",42.349659,-71.103989,"RapidTransit","Boston"
"24","Green-B","to_stop_id","70200","Park Street",42.356395,-71.062424,"RapidTransit","Boston"
"25","Green-C","from_stop_id","70228","Fairbanks Street",42.339644,-71.131078,"RapidTransit","Brookline"
"26","Green-C","to_stop_id","70216","Kent Street",42.343927,-71.114569,"RapidTransit","Brookline"
"27","Green-C","from_stop_id","70208","Science Park/West End",42.366664,-71.067666,"RapidTransit","Boston"
"28","Green-C","to_stop_id","70225","Brandon Hall",42.340053,-71.128869,"RapidTransit","Brookline"
"29","Green-C","from_stop_id","70154","Copley",42.349871,-71.078049,"RapidTransit","Boston"
"30","Green-C","to_stop_id","70207","Science Park/West End",42.366664,-71.067666,"RapidTransit","Boston"
"31","Green-D","from_stop_id","70172","Chestnut Hill",42.326799,-71.164146,"RapidTransit","Newton"
"32","Green-D","to_stop_id","70158","Boylston",42.352531,-71.064682,"RapidTransit","Boston"
"33","Green-D","from_stop_id","70179","Brookline Hills",42.331413,-71.127025,"RapidTransit","Brookline"
"34","Green-D","to_stop_id","70169","Newton Highlands",42.32253,-71.205421,"RapidTransit","Newton"
"35","Green-D","from_stop_id","70174","Reservoir",42.335181,-71.147879,"RapidTransit","Brookline"
"36","Green-D","to_stop_id","70207","Science Park/West End",42.366664,-71.067666,"RapidTransit","Boston"
"37","Green-E","from_stop_id","70249","Brigham Circle",42.334331,-71.104487,"RapidTransit","Boston"
"38","Green-E","to_stop_id","70255","Riverway",42.331391,-71.111925,"RapidTransit","Boston"
"39","Green-E","from_stop_id","70156","Arlington",42.351902,-71.070893,"RapidTransit","Boston"
"40","Green-E","to_stop_id","70501","Lechmere",42.371566,-71.076457,"RapidTransit","Cambridge"
"41","Green-E","from_stop_id","70206","North Station",42.365577,-71.06129,"RapidTransit","Boston"
"42","Green-E","to_stop_id","70245","Museum of Fine Arts",42.337875,-71.09524,"RapidTransit","Boston"
"43","Mattapan","from_stop_id","70261","Ashmont",42.283768,-71.063191,"RapidTransit","Boston"
"44","Mattapan","to_stop_id","70275","Mattapan",42.267625,-71.092389,"RapidTransit","Boston"
"45","Mattapan","from_stop_id","70271","Valley Road",42.268389,-71.081504,"RapidTransit","Milton"
"46","Mattapan","to_stop_id","70275","Mattapan",42.267625,-71.092389,"RapidTransit","Boston"
"47","Mattapan","from_stop_id","70267","Milton",42.270388,-71.067253,"RapidTransit","Milton"
"48","Mattapan","to_stop_id","70275","Mattapan",42.267625,-71.092389,"RapidTransit","Boston"
